Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
30.713014750,0,1,0,1,1,1
30.713020000,0,0,0,1,1,1
30.713020500,0,0,1,1,1,1
30.713020875,0,0,0,1,1,1
30.713025250,0,1,0,1,1,1
30.713030375,0,0,0,1,1,1
30.713050375,0,1,0,1,1,1
30.713055625,0,0,0,1,1,1
30.713060875,0,1,0,1,1,1
30.713066000,0,0,0,1,1,1
30.713071375,0,1,0,1,1,1
30.713076500,0,0,0,1,1,1
30.713077125,0,0,1,1,1,1
30.713081875,0,1,1,1,1,1
30.713087000,0,0,1,1,1,1
30.713087500,0,0,0,1,1,1
30.713092375,0,1,0,1,1,1
30.713097500,0,0,0,1,1,1
30.713102750,0,1,0,1,1,1
30.713108000,0,0,0,1,1,1
30.713113250,0,1,0,1,1,1
30.713118500,0,0,0,1,1,1
30.713123750,0,1,0,1,1,1
30.713129000,0,0,0,1,1,1
30.713129500,0,0,1,1,1,1
30.713129875,0,0,0,1,1,1
30.713134250,0,1,0,1,1,1
30.713139375,0,0,0,1,1,1
30.713159375,0,1,0,1,1,1
30.713164625,0,0,0,1,1,1
30.713169875,0,1,0,1,1,1
30.713175000,0,0,0,1,1,1
30.713180375,0,1,0,1,1,1
30.713185500,0,0,0,1,1,1
30.713186125,0,0,1,1,1,1
30.713190875,0,1,1,1,1,1
30.713196000,0,0,1,1,1,1
30.713196500,0,0,0,1,1,1
30.713201375,0,1,0,1,1,1
30.713206500,0,0,0,1,1,1
30.713211875,0,1,0,1,1,1
30.713217000,0,0,0,1,1,1
30.713222250,0,1,0,1,1,1
30.713227500,0,0,0,1,1,1
30.713232750,0,1,0,1,1,1
30.713238000,0,0,0,1,1,1
30.713238500,0,0,1,1,1,1
30.713238875,0,0,0,1,1,1
30.713243250,0,1,0,1,1,1
30.713248375,0,0,0,1,1,1
30.713268375,0,1,0,1,1,1
30.713273625,0,0,0,1,1,1
30.713278875,0,1,0,1,1,1
30.713284125,0,0,0,1,1,1
30.713289375,0,1,0,1,1,1
30.713294500,0,0,0,1,1,1
30.713295125,0,0,1,1,1,1
30.713299875,0,1,1,1,1,1
30.713305000,0,0,1,1,1,1
30.713305500,0,0,0,1,1,1
30.713310375,0,1,0,1,1,1
30.713315500,0,0,0,1,1,1
30.713320875,0,1,0,1,1,1
30.713326000,0,0,0,1,1,1
30.713331250,0,1,0,1,1,1
30.713336500,0,0,0,1,1,1
30.713341750,0,1,0,1,1,1
30.713347000,0,0,0,1,1,1
30.713347500,0,0,1,1,1,1
